mode,hand,char,x_mean,x_std,y_mean,y_std
0,0,0,1493.12,114.16,1296.94,56.0986
0,0,1,1946.09,158.224,1438.27,64.6554
0,0,2,1750.96,114.16,1423.22,56.0986
0,0,3,1699.39,114.16,1296.94,56.0986
0,0,4,1647.82,114.16,1170.66,56.0986
0,0,5,1802.53,114.16,1296.94,56.0986
0,0,6,1905.66,114.16,1296.94,56.0986
0,0,7,1973.54,149.494,1296.81,52.5024
0,0,8,2149.34,118.185,1169.79,60.5719
0,0,9,2118.71,100.901,1275.07,60.0419
0,0,10,2198.65,98.837,1289.61,53.2832
0,0,11,2301.84,87.3581,1291.21,51.4342
0,0,12,2201.2,71.747,1421.26,49.7387
0,0,13,2056.17,128.912,1425.36,54.1773
0,0,14,2256.88,87.8625,1169.75,59.9604
0,0,15,2352.5,82.956,1171.41,56.8019
0,0,16,1441.55,114.16,1170.66,56.0986
0,0,17,1750.96,114.16,1170.66,56.0986
0,0,18,1596.25,114.16,1296.94,56.0986
0,0,19,1854.09,114.16,1170.66,56.0986
0,0,20,2049.75,131.482,1173.67,54.7033
0,0,21,1854.09,114.16,1423.22,56.0986
0,0,22,1544.68,114.16,1170.66,56.0986
0,0,23,1647.82,114.16,1423.22,56.0986
0,0,24,1932.49,153.959,1179.7,55.3131
0,0,25,1544.68,114.16,1423.22,56.0986
0,1,0,183.363,51.9568,1268.25,56.6298
0,1,1,643.948,70.9979,1405.27,59.0077
0,1,2,470.958,78.2434,1414.15,54.0387
0,1,3,409.629,65.9989,1264.46,60.1427
0,1,4,356.859,69.9357,1132.26,66.6478
0,1,5,488.345,75.2059,1269.41,54.2528
0,1,6,575.811,97.7947,1282.12,56.8413
0,1,7,689.305,70.9979,1272.44,59.0077
0,1,8,825.377,70.9979,1139.6,59.0077
0,1,9,780.02,70.9979,1272.44,59.0077
0,1,10,870.734,70.9979,1272.44,59.0077
0,1,11,961.448,70.9979,1272.44,59.0077
0,1,12,825.377,70.9979,1405.27,59.0077
0,1,13,734.662,70.9979,1405.27,59.0077
0,1,14,916.091,70.9979,1139.6,59.0077
0,1,15,1006.8,70.9979,1139.6,59.0077
0,1,16,148.172,56.9938,1131.55,60.0283
0,1,17,458.91,83.37,1139.62,65.353
0,1,18,297.998,59.2184,1265.93,57.1317
0,1,19,546.774,100.818,1156.93,66.4158
0,1,20,734.662,70.9979,1139.6,59.0077
0,1,21,537.351,75.8004,1423.88,56.8928
0,1,22,272.486,62.041,1135.25,64.8758
0,1,23,395.979,69.6146,1387.73,66.0067
0,1,24,643.948,70.9979,1139.6,59.0077
0,1,25,255.4,46.9784,1416,40.8499
1,0,0,1623.06,61.6478,1367.59,32.8086
1,0,1,2032.42,75.6628,1489.4,30.7727
1,0,2,1850.9,61.6478,1477.02,32.8086
1,0,3,1805.33,61.6478,1367.59,32.8086
1,0,4,1759.76,61.6478,1258.17,32.8086
1,0,5,1896.47,61.6478,1367.59,32.8086
1,0,6,1987.6,61.6478,1367.59,32.8086
1,0,7,2038.98,69.3708,1374.02,31.0945
1,0,8,2209.64,60.3219,1256.69,36.8658
1,0,9,2144.62,66.7464,1359.36,26.8323
1,0,10,2239.59,52.5499,1365.55,32.8453
1,0,11,2332.15,58.5091,1362.31,30.581
1,0,12,2238.15,55.9235,1473.36,30.3946
1,0,13,2125.83,65.8195,1476.91,30.9896
1,0,14,2297.52,55.6518,1256.34,35.6935
1,0,15,2379.52,57.4173,1258.19,35.1434
1,0,16,1577.49,61.6478,1258.17,32.8086
1,0,17,1850.9,61.6478,1258.17,32.8086
1,0,18,1714.19,61.6478,1367.59,32.8086
1,0,19,1942.03,61.6478,1258.17,32.8086
1,0,20,2117.69,58.4902,1261.27,36.3624
1,0,21,1942.03,61.6478,1477.02,32.8086
1,0,22,1668.63,61.6478,1258.17,32.8086
1,0,23,1759.76,61.6478,1477.02,32.8086
1,0,24,2010.69,63.3098,1265.9,36.1278
1,0,25,1668.63,61.6478,1477.02,32.8086
1,1,0,168.951,33.1247,1349.15,31.1185
1,1,1,615.492,42.8392,1465.2,30.1127
1,1,2,440.998,46.3375,1471.69,33.4747
1,1,3,379.256,42.657,1352.05,31.2505
1,1,4,341.862,44.679,1239.43,30.2824
1,1,5,459.459,55.9479,1352.51,25.5861
1,1,6,548.063,39.0493,1351.92,27.1482
1,1,7,659.536,42.8392,1353.38,30.1127
1,1,8,791.668,42.8392,1241.55,30.1127
1,1,9,747.624,42.8392,1353.38,30.1127
1,1,10,835.712,42.8392,1353.38,30.1127
1,1,11,923.8,42.8392,1353.38,30.1127
1,1,12,791.668,42.8392,1465.2,30.1127
1,1,13,703.58,42.8392,1465.2,30.1127
1,1,14,879.756,42.8392,1241.55,30.1127
1,1,15,967.844,42.8392,1241.55,30.1127
1,1,16,135.351,30.8448,1251.22,31.9558
1,1,17,439.023,53.598,1239.49,28.3647
1,1,18,277.338,34.6877,1349.83,31.2871
1,1,19,524.878,51.3295,1248.83,27.0212
1,1,20,703.58,42.8392,1241.55,30.1127
1,1,21,487.099,52.3515,1477.62,33.9171
1,1,22,251.905,35.254,1242.98,27.875
1,1,23,348.261,48.7882,1463.76,35.0854
1,1,24,615.492,42.8392,1241.55,30.1127
1,1,25,251.2,31.1002,1455.6,27.2115
